name,website,sectors,check_size,stage,hq
Cascade Investment,https://www.cascadeinv.com,Technology|Real Estate|Energy,$50M-$1B,Direct Investment,Kirkland
Emerson Collective,https://www.emersoncollective.com,Education|Immigration|Climate,$5M-$100M,Venture/Direct,Palo Alto
Bezos Expeditions,https://www.bezosexpeditions.com,Technology|Space|Media,$10M-$500M,Direct Investment,Seattle
Iconiq Capital,https://www.iconiqcapital.com,Technology|Healthcare|Consumer,$10M-$200M,Growth Equity,San Francisco
MSD Partners,https://www.msdpartners.com,Technology|Real Estate|Financial Services,$50M-$500M,Direct Investment,New York
Soros Fund Management,https://www.soros.com,Technology|Financial Services|Healthcare,$25M-$500M,Direct Investment,New York
Mousse Partners,https://www.moussepartners.com,Consumer|Technology|Luxury,$10M-$200M,Growth Equity,New York
Laurene Powell Jobs (Emerson),https://www.emersoncollective.com,Education|Technology|Climate,$5M-$100M,Venture,Palo Alto
Vulcan Capital,https://www.vulcan.com,Technology|Real Estate|Sports,$10M-$200M,Direct Investment,Seattle
Westly Group,https://www.westlygroup.com,Cleantech|Technology|Sustainability,$5M-$50M,Venture,Menlo Park
Sorenson Capital,https://www.sorensoncapital.com,Technology|Healthcare|Consumer,$10M-$100M,Growth Equity,Salt Lake City
Pritzker Group,https://www.pritzkergroup.com,Technology|Healthcare|Financial Services,$10M-$200M,Private Capital,Chicago
Stephens Group,https://www.stephensgroup.com,Financial Services|Technology|Healthcare,$10M-$100M,Direct Investment,Little Rock
Koch Disruptive Technologies,https://www.kochdisruptivetechnologies.com,Technology|Healthcare|Energy,$10M-$200M,Growth Equity,Wichita
Willett Advisors,https://www.willettadvisors.com,Technology|Real Estate|Infrastructure,$25M-$200M,Direct Investment,New York
Blue Pool Capital,https://www.bluepoolcapital.com,Technology|Financial Services|Real Estate,$10M-$500M,Direct Investment,Hong Kong
Atomico,https://www.atomico.com,Technology|Consumer|Enterprise,$1M-$100M,Venture,London
March Capital,https://www.marchcp.com,Enterprise|AI|Cybersecurity,$5M-$50M,Venture,Santa Monica
Pitango Venture Capital,https://www.pitango.com,Technology|Healthcare|Fintech,$1M-$30M,Venture,Herzliya
Hillspire,https://www.hillspire.com,Technology|Climate|Education,$5M-$100M,Direct Investment,San Francisco
Euclidean Capital,https://www.euclideancapital.com,Technology|Quantitative,$10M-$200M,Direct Investment,Greenwich
Tao Capital Partners,https://www.taocap.com,Technology|Healthcare|Consumer,$5M-$50M,Growth Equity,Honolulu
XN,https://www.xn.co,Technology|Financial Services,$5M-$100M,Growth Equity,New York
Cendana Capital,https://www.cendanacapital.com,Venture Capital (Fund of Funds),$1M-$10M,Seed,San Francisco
Sapphire Ventures,https://www.sapphireventures.com,Enterprise|Technology,$5M-$100M,Growth Equity,Palo Alto
Sievert Larsen Family Office,https://www.sievertlarsen.com,Technology|Real Estate,$5M-$50M,Direct Investment,Copenhagen
Mumtalakat,https://www.mumtalakat.bh,Technology|Infrastructure|Financial Services,$50M-$500M,Sovereign Wealth,Bahrain
Temasek Holdings,https://www.temasek.com.sg,Technology|Financial Services|Healthcare,$50M-$2B,Sovereign Wealth,Singapore
GIC,https://www.gic.com.sg,Technology|Real Estate|Infrastructure,$100M-$2B,Sovereign Wealth,Singapore
Mubadala,https://www.mubadala.com,Technology|Healthcare|Aerospace,$50M-$2B,Sovereign Wealth,Abu Dhabi
ADIA,https://www.adia.ae,Real Estate|Infrastructure|Technology,$100M-$5B,Sovereign Wealth,Abu Dhabi
Norges Bank Investment Management,https://www.nbim.no,Equities|Real Estate|Fixed Income,$100M-$5B,Sovereign Wealth,Oslo
Canada Pension Plan,https://www.cppinvestments.com,Infrastructure|Real Estate|Technology,$100M-$5B,Pension,Toronto
Ontario Teachers Pension Plan,https://www.otpp.com,Infrastructure|Technology|Real Estate,$50M-$2B,Pension,Toronto
Caisse de depot,https://www.cdpq.com,Infrastructure|Real Estate|Technology,$50M-$2B,Pension,Montreal
